Year,Month,Day,Max of Price,Typical Price,Open/Close,High/Low,Volume,Type
2023,February,28,$147.05,$147.77,-0.36,2.25,50547000,Open
2023,March,1,$146.83,$145.85,1.52,2.22,55479000,Open
2023,March,2,$144.38,$145.51,-1.53,2.81,52238100,Open
2023,March,3,$148.04,$149.82,-2.99,3.78,70732300,Open
2023,March,6,$153.79,$154.53,-0.04,2.84,87558000,Open
2023,March,7,$153.70,$152.25,2.10,2.90,56182000,Open
2023,March,8,$152.81,$152.72,-0.06,1.64,47204800,Open
2023,March,9,$153.56,$151.79,2.97,4.31,53833600,Open
2023,March,10,$150.21,$149.02,1.71,3.33,68572400,Open
2023,March,13,$147.81,$150.44,-2.66,5.44,84457100,Open
2023,March,14,$151.28,$152.03,-1.31,3.30,73695900,Open
2023,March,15,$151.19,$152.05,-1.80,3.33,77167900,Open
2023,March,16,$152.16,$154.65,-3.69,4.82,76161100,Open
2023,March,17,$156.08,$155.34,1.08,2.46,98944600,Open
2023,March,20,$155.07,$156.46,-2.33,3.67,73641400,Open
2023,March,21,$157.32,$158.41,-1.96,2.86,73938300,Open
2023,March,22,$159.30,$159.26,1.47,4.33,75701800,Open
2023,March,23,$158.83,$159.39,-0.10,3.87,67622100,Open
2023,March,24,$158.86,$159.48,-1.39,2.49,59196500,Open
2023,March,27,$159.94,$158.97,1.66,2.90,52390300,Open
2023,March,28,$157.97,$157.37,0.32,2.51,45992200,Open
2023,March,29,$159.37,$160.39,-1.40,1.70,51305700,Open
2023,March,30,$161.53,$162.03,-0.83,1.20,49501700,Open
2023,March,31,$162.44,$163.94,-2.46,3.09,68694700,Open
2023,April,3,$164.27,$165.56,-1.90,2.07,56976200,Open
2023,April,4,$166.60,$165.86,0.97,1.73,46278300,Open
2023,April,5,$164.74,$163.54,0.98,3.25,51511700,Open
2023,April,6,$162.43,$163.87,-2.23,2.96,45390100,Open
2023,April,10,$161.42,$161.38,-0.61,1.95,47716900,Open
2023,April,11,$162.35,$161.22,1.55,1.85,47644200,Open
2023,April,12,$161.22,$160.65,1.12,2.28,50133100,Open
2023,April,13,$161.63,$164.26,-3.93,4.38,68445600,Open
2023,April,14,$164.59,$165.12,-0.62,2.50,49337200,Open
2023,April,17,$165.09,$164.88,-0.14,1.36,41516200,Open
2023,April,18,$166.10,$166.51,-0.37,1.76,49923000,Open
2023,April,19,$165.80,$167.11,-1.83,2.62,47720200,Open
2023,April,20,$166.09,$166.69,-0.56,2.31,52362900,Open
2023,April,21,$165.05,$165.32,0.03,1.96,58311900,Open
2023,April,24,$165.00,$164.94,-0.33,1.71,41949600,Open
2023,April,25,$165.19,$164.60,1.42,2.58,48714100,Open
2023,April,26,$163.06,$163.95,-0.70,2.48,45498800,Open
2023,April,27,$165.19,$167.39,-3.22,3.37,64728500,Open
